,Content,Sentiment,Label,caseFold,PuncRev,review_token,stopwords_removal,stemming
10,"Aplikasi tidak bisa dibuka, selalu keluar sendiri",negatif,-1,"aplikasi tidak bisa dibuka, selalu keluar sendiri",aplikasi tidak bisa dibuka  selalu keluar sendiri,"['aplikasi', 'tidak', 'bisa', 'dibuka', 'selalu', 'keluar', 'sendiri']","['aplikasi', 'dibuka']","['aplikasi', 'buka']"
11,Bagus saya suka semua transaksi lancar,positif,1,bagus saya suka semua transaksi lancar,bagus saya suka semua transaksi lancar,"['bagus', 'saya', 'suka', 'semua', 'transaksi', 'lancar']","['bagus', 'suka', 'transaksi', 'lancar']","['bagus', 'suka', 'transaksi', 'lancar']"
12,Goddd,positif,1,goddd,goddd,['goddd'],['goddd'],['goddd']
13,"Saya mau tanya, saya ojol pakai rekening ponsel CIMB niaga.. tapi di beberapa ATM CIMB niaga tools rekening ponsel sudah berganti jadi Octo mobile. Bagaimana cara saya tarik tunai di ATM?? Sedangkan saya download Octo mobile, saya login dengan nomor handphone yang saya daftarkan untuk rekening ponsel. Tidak dapat kode verifikasi... Tolong di bantu.",netral,0,"saya mau tanya, saya ojol pakai rekening ponsel cimb niaga.. tapi di beberapa atm cimb niaga tools rekening ponsel sudah berganti jadi octo mobile. bagaimana cara saya tarik tunai di atm?? sedangkan saya download octo mobile, saya login dengan nomor handphone yang saya daftarkan untuk rekening ponsel. tidak dapat kode verifikasi... tolong di bantu.",saya mau tanya  saya ojol pakai rekening ponsel cimb niaga  tapi di beberapa atm cimb niaga tools rekening ponsel sudah berganti jadi octo mobile  bagaimana cara saya tarik tunai di atm  sedangkan saya download octo mobile  saya login dengan nomor handphone yang saya daftarkan untuk rekening ponsel  tidak dapat kode verifikasi  tolong di bantu ,"['saya', 'mau', 'tanya', 'saya', 'ojol', 'pakai', 'rekening', 'ponsel', 'cimb', 'niaga', 'tapi', 'di', 'beberapa', 'atm', 'cimb', 'niaga', 'tools', 'rekening', 'ponsel', 'sudah', 'berganti', 'jadi', 'octo', 'mobile', 'bagaimana', 'cara', 'saya', 'tarik', 'tunai', 'di', 'atm', 'sedangkan', 'saya', 'download', 'octo', 'mobile', 'saya', 'login', 'dengan', 'nomor', 'handphone', 'yang', 'saya', 'daftarkan', 'untuk', 'rekening', 'ponsel', 'tidak', 'dapat', 'kode', 'verifikasi', 'tolong', 'di', 'bantu']","['ojol', 'pakai', 'rekening', 'ponsel', 'cimb', 'niaga', 'atm', 'cimb', 'niaga', 'tools', 'rekening', 'ponsel', 'berganti', 'octo', 'mobile', 'tarik', 'tunai', 'atm', 'download', 'octo', 'mobile', 'login', 'nomor', 'handphone', 'daftarkan', 'rekening', 'ponsel', 'kode', 'verifikasi', 'tolong', 'bantu']","['ojol', 'pakai', 'rekening', 'ponsel', 'cimb', 'niaga', 'atm', 'cimb', 'niaga', 'tools', 'rekening', 'ponsel', 'ganti', 'octo', 'mobile', 'tarik', 'tunai', 'atm', 'download', 'octo', 'mobile', 'login', 'nomor', 'handphone', 'daftar', 'rekening', 'ponsel', 'kode', 'verifikasi', 'tolong', 'bantu']"
14,penggunaan mudah,positif,1,penggunaan mudah,penggunaan mudah,"['penggunaan', 'mudah']","['penggunaan', 'mudah']","['guna', 'mudah']"
15,memudahkan transaksi,positif,1,memudahkan transaksi,memudahkan transaksi,"['memudahkan', 'transaksi']","['memudahkan', 'transaksi']","['mudah', 'transaksi']"
16,Cepat dan mudah,positif,1,cepat dan mudah,cepat dan mudah,"['cepat', 'dan', 'mudah']","['cepat', 'mudah']","['cepat', 'mudah']"
17,Simple dan gampang dimengerti,positif,1,simple dan gampang dimengerti,simple dan gampang dimengerti,"['simple', 'dan', 'gampang', 'dimengerti']","['simple', 'gampang', 'dimengerti']","['simple', 'gampang', 'erti']"
18,Memudahkan,positif,1,memudahkan,memudahkan,['memudahkan'],['memudahkan'],['mudah']
19,lebih cepat,positif,1,lebih cepat,lebih cepat,"['lebih', 'cepat']",['cepat'],['cepat']
20,"tolong lah perbarui, ,di xiaomi mi8 ga bisa di buka ini palikasi, padahal hp memenuhi smua syarat loh",negatif,-1,"tolong lah perbarui, ,di xiaomi mi8 ga bisa di buka ini palikasi, padahal hp memenuhi smua syarat loh",tolong lah perbarui   di xiaomi mi  ga bisa di buka ini palikasi  padahal hp memenuhi smua syarat loh,"['tolong', 'lah', 'perbarui', 'di', 'xiaomi', 'mi', 'ga', 'bisa', 'di', 'buka', 'ini', 'palikasi', 'padahal', 'hp', 'memenuhi', 'smua', 'syarat', 'loh']","['tolong', 'perbarui', 'xiaomi', 'mi', 'ga', 'buka', 'palikasi', 'hp', 'memenuhi', 'smua', 'syarat', 'loh']","['tolong', 'baru', 'xiaomi', 'mi', 'ga', 'buka', 'palikasi', 'hp', 'penuh', 'smua', 'syarat', 'loh']"
21,Mantap,positif,1,mantap,mantap,['mantap'],['mantap'],['mantap']
22,Very nice,positif,1,very nice,very nice,"['very', 'nice']","['very', 'nice']","['very', 'nice']"
23,Terbaik deh.. Sangat membantu,positif,1,terbaik deh.. sangat membantu,terbaik deh  sangat membantu,"['terbaik', 'deh', 'sangat', 'membantu']","['terbaik', 'deh', 'membantu']","['baik', 'deh', 'bantu']"
24,baguss,positif,1,baguss,baguss,['baguss'],['baguss'],['baguss']
25,Octo Mobile by CIMB NIAGA aplication is the best aplication for me,positif,1,octo mobile by cimb niaga aplication is the best aplication for me,octo mobile by cimb niaga aplication is the best aplication for me,"['octo', 'mobile', 'by', 'cimb', 'niaga', 'aplication', 'is', 'the', 'best', 'aplication', 'for', 'me']","['octo', 'mobile', 'by', 'cimb', 'niaga', 'aplication', 'is', 'the', 'best', 'aplication', 'for', 'me']","['octo', 'mobile', 'by', 'cimb', 'niaga', 'aplication', 'is', 'the', 'best', 'aplication', 'for', 'me']"
26,Terimakasih untuk pelayanannya yang sudah lebih baik,positif,1,terimakasih untuk pelayanannya yang sudah lebih baik,terimakasih untuk pelayanannya yang sudah lebih baik,"['terimakasih', 'untuk', 'pelayanannya', 'yang', 'sudah', 'lebih', 'baik']","['terimakasih', 'pelayanannya']","['terimakasih', 'layan']"
27,Mudah dan cepat,positif,1,mudah dan cepat,mudah dan cepat,"['mudah', 'dan', 'cepat']","['mudah', 'cepat']","['mudah', 'cepat']"
28,ðŸ‘ðŸ‘,positif,1,ðÿ‘ðÿ‘, ,[],[],[]
29,Praktis dan cepat,positif,1,praktis dan cepat,praktis dan cepat,"['praktis', 'dan', 'cepat']","['praktis', 'cepat']","['praktis', 'cepat']"
30,Aplikasi buruk ribet,negatif,-1,aplikasi buruk ribet,aplikasi buruk ribet,"['aplikasi', 'buruk', 'ribet']","['aplikasi', 'buruk', 'ribet']","['aplikasi', 'buruk', 'ribet']"
31,Makin baik ajah pelayanan go mobile nya,positif,1,makin baik ajah pelayanan go mobile nya,makin baik ajah pelayanan go mobile nya,"['makin', 'baik', 'ajah', 'pelayanan', 'go', 'mobile', 'nya']","['ajah', 'pelayanan', 'go', 'mobile', 'nya']","['ajah', 'layan', 'go', 'mobile', 'nya']"
32,"Saya sudah lama menggunakan aplikasi ini, dari pemakaian awal sampai sekarang terdapat beberapa penambahan fitur menarik. Namun, sejak update terakhir. Ketika saya sudah logout dan hendak menutup aplikasi dengan menekan tombol back, bukannya menutup aplikasi melainkan mundur ke halaman sebelumnya padahal sudah dilogout (statusnya tetap logout tapi menampilkan halaman sebelumnya). Meski masih bisa menutup aplikasi dengan tombol home, tapi ini agak mengganggu saya",netral,0,"saya sudah lama menggunakan aplikasi ini, dari pemakaian awal sampai sekarang terdapat beberapa penambahan fitur menarik. namun, sejak update terakhir. ketika saya sudah logout dan hendak menutup aplikasi dengan menekan tombol back, bukannya menutup aplikasi melainkan mundur ke halaman sebelumnya padahal sudah dilogout (statusnya tetap logout tapi menampilkan halaman sebelumnya). meski masih bisa menutup aplikasi dengan tombol home, tapi ini agak mengganggu saya",saya sudah lama menggunakan aplikasi ini  dari pemakaian awal sampai sekarang terdapat beberapa penambahan fitur menarik  namun  sejak update terakhir  ketika saya sudah logout dan hendak menutup aplikasi dengan menekan tombol back  bukannya menutup aplikasi melainkan mundur ke halaman sebelumnya padahal sudah dilogout  statusnya tetap logout tapi menampilkan halaman sebelumnya  meski masih bisa menutup aplikasi dengan tombol home  tapi ini agak mengganggu saya,"['saya', 'sudah', 'lama', 'menggunakan', 'aplikasi', 'ini', 'dari', 'pemakaian', 'awal', 'sampai', 'sekarang', 'terdapat', 'beberapa', 'penambahan', 'fitur', 'menarik', 'namun', 'sejak', 'update', 'terakhir', 'ketika', 'saya', 'sudah', 'logout', 'dan', 'hendak', 'menutup', 'aplikasi', 'dengan', 'menekan', 'tombol', 'back', 'bukannya', 'menutup', 'aplikasi', 'melainkan', 'mundur', 'ke', 'halaman', 'sebelumnya', 'padahal', 'sudah', 'dilogout', 'statusnya', 'tetap', 'logout', 'tapi', 'menampilkan', 'halaman', 'sebelumnya', 'meski', 'masih', 'bisa', 'menutup', 'aplikasi', 'dengan', 'tombol', 'home', 'tapi', 'ini', 'agak', 'mengganggu', 'saya']","['aplikasi', 'pemakaian', 'penambahan', 'fitur', 'menarik', 'update', 'logout', 'menutup', 'aplikasi', 'menekan', 'tombol', 'back', 'menutup', 'aplikasi', 'mundur', 'halaman', 'dilogout', 'statusnya', 'logout', 'menampilkan', 'halaman', 'menutup', 'aplikasi', 'tombol', 'home', 'mengganggu']","['aplikasi', 'pakai', 'tambah', 'fitur', 'tarik', 'update', 'logout', 'tutup', 'aplikasi', 'tekan', 'tombol', 'back', 'tutup', 'aplikasi', 'mundur', 'halaman', 'dilogout', 'status', 'logout', 'tampil', 'halaman', 'tutup', 'aplikasi', 'tombol', 'home', 'ganggu']"
33,Sangat memuaskan,positif,1,sangat memuaskan,sangat memuaskan,"['sangat', 'memuaskan']",['memuaskan'],['muas']
34,"TOLONG DI PERBAIKI JARINGAN NYA MASAK LOGIN MESTI PAKAI DATA, PAKAI WIFI MENTAL TERUS / KELUAR TERUS DR APK.",negatif,-1,"tolong di perbaiki jaringan nya masak login mesti pakai data, pakai wifi mental terus / keluar terus dr apk.",tolong di perbaiki jaringan nya masak login mesti pakai data  pakai wifi mental terus   keluar terus dr apk ,"['tolong', 'di', 'perbaiki', 'jaringan', 'nya', 'masak', 'login', 'mesti', 'pakai', 'data', 'pakai', 'wifi', 'mental', 'terus', 'keluar', 'terus', 'dr', 'apk']","['tolong', 'perbaiki', 'jaringan', 'nya', 'masak', 'login', 'mesti', 'pakai', 'data', 'pakai', 'wifi', 'mental', 'dr', 'apk']","['tolong', 'baik', 'jaring', 'nya', 'masak', 'login', 'mesti', 'pakai', 'data', 'pakai', 'wifi', 'mental', 'dr', 'apk']"
35,Cukup praktis dan simple,positif,1,cukup praktis dan simple,cukup praktis dan simple,"['cukup', 'praktis', 'dan', 'simple']","['praktis', 'simple']","['praktis', 'simple']"
36,Aplikasi Octo mobile membantu saya dalam transaksi.. terima kasih,positif,1,aplikasi octo mobile membantu saya dalam transaksi.. terima kasih,aplikasi octo mobile membantu saya dalam transaksi  terima kasih,"['aplikasi', 'octo', 'mobile', 'membantu', 'saya', 'dalam', 'transaksi', 'terima', 'kasih']","['aplikasi', 'octo', 'mobile', 'membantu', 'transaksi', 'terima', 'kasih']","['aplikasi', 'octo', 'mobile', 'bantu', 'transaksi', 'terima', 'kasih']"
37,"Operasionalnya mudah, proses transaksi cepat dan banyak produk perbankan yg bisa diakses secara digital",positif,1,"operasionalnya mudah, proses transaksi cepat dan banyak produk perbankan yg bisa diakses secara digital",operasionalnya mudah  proses transaksi cepat dan banyak produk perbankan yg bisa diakses secara digital,"['operasionalnya', 'mudah', 'proses', 'transaksi', 'cepat', 'dan', 'banyak', 'produk', 'perbankan', 'yg', 'bisa', 'diakses', 'secara', 'digital']","['operasionalnya', 'mudah', 'proses', 'transaksi', 'cepat', 'produk', 'perbankan', 'yg', 'diakses', 'digital']","['operasional', 'mudah', 'proses', 'transaksi', 'cepat', 'produk', 'perban', 'yg', 'akses', 'digital']"
38,"Disaat mau dipake buat bayar, sering kali ada perbaikan, bikin gak nyaman karena gak bisa digunakan saat ada perbaikan bgst",negatif,-1,"disaat mau dipake buat bayar, sering kali ada perbaikan, bikin gak nyaman karena gak bisa digunakan saat ada perbaikan bgst",disaat mau dipake buat bayar  sering kali ada perbaikan  bikin gak nyaman karena gak bisa digunakan saat ada perbaikan bgst,"['disaat', 'mau', 'dipake', 'buat', 'bayar', 'sering', 'kali', 'ada', 'perbaikan', 'bikin', 'gak', 'nyaman', 'karena', 'gak', 'bisa', 'digunakan', 'saat', 'ada', 'perbaikan', 'bgst']","['disaat', 'dipake', 'bayar', 'kali', 'perbaikan', 'bikin', 'gak', 'nyaman', 'gak', 'perbaikan', 'bgst']","['saat', 'dipake', 'bayar', 'kali', 'baik', 'bikin', 'gak', 'nyaman', 'gak', 'baik', 'bgst']"
39,"Saya membuka rekening berhasil tapi tidak bisa login, passcode tidak masuk padahal kartu SIM sudah di SIM1 pulsa juga ada",negatif,-1,"saya membuka rekening berhasil tapi tidak bisa login, passcode tidak masuk padahal kartu sim sudah di sim1 pulsa juga ada",saya membuka rekening berhasil tapi tidak bisa login  passcode tidak masuk padahal kartu sim sudah di sim  pulsa juga ada,"['saya', 'membuka', 'rekening', 'berhasil', 'tapi', 'tidak', 'bisa', 'login', 'passcode', 'tidak', 'masuk', 'padahal', 'kartu', 'sim', 'sudah', 'di', 'sim', 'pulsa', 'juga', 'ada']","['membuka', 'rekening', 'berhasil', 'login', 'passcode', 'masuk', 'kartu', 'sim', 'sim', 'pulsa']","['buka', 'rekening', 'hasil', 'login', 'passcode', 'masuk', 'kartu', 'sim', 'sim', 'pulsa']"
40,Penggunaan aplikasi yg sangat mudah,positif,1,penggunaan aplikasi yg sangat mudah,penggunaan aplikasi yg sangat mudah,"['penggunaan', 'aplikasi', 'yg', 'sangat', 'mudah']","['penggunaan', 'aplikasi', 'yg', 'mudah']","['guna', 'aplikasi', 'yg', 'mudah']"
41,"oke, lancar pembayaran apapun. terima kasih.",positif,1,"oke, lancar pembayaran apapun. terima kasih.",oke  lancar pembayaran apapun  terima kasih ,"['oke', 'lancar', 'pembayaran', 'apapun', 'terima', 'kasih']","['oke', 'lancar', 'pembayaran', 'apapun', 'terima', 'kasih']","['oke', 'lancar', 'bayar', 'apa', 'terima', 'kasih']"
42,Good,positif,1,good,good,['good'],['good'],['good']
43,Cepat dan aman,positif,1,cepat dan aman,cepat dan aman,"['cepat', 'dan', 'aman']","['cepat', 'aman']","['cepat', 'aman']"
44,Cukup mudah dan sangat membantu terimakasih,positif,1,cukup mudah dan sangat membantu terimakasih,cukup mudah dan sangat membantu terimakasih,"['cukup', 'mudah', 'dan', 'sangat', 'membantu', 'terimakasih']","['mudah', 'membantu', 'terimakasih']","['mudah', 'bantu', 'terimakasih']"
45,Mantp,positif,1,mantp,mantp,['mantp'],['mantp'],['mantp']
46,"Aplikasi bodoh bukannya bikin simpel malah bikin kartu lama aktifnya, karna harus nunggu kartu debit datang Ngirimnya juga gak niat, gak ada resi sama lacak pengiriman Yang mau daftar lewat ini aplikasi AWAS NYESEL",negatif,-1,"aplikasi bodoh bukannya bikin simpel malah bikin kartu lama aktifnya, karna harus nunggu kartu debit datang ngirimnya juga gak niat, gak ada resi sama lacak pengiriman yang mau daftar lewat ini aplikasi awas nyesel",aplikasi bodoh bukannya bikin simpel malah bikin kartu lama aktifnya  karna harus nunggu kartu debit datang ngirimnya juga gak niat  gak ada resi sama lacak pengiriman yang mau daftar lewat ini aplikasi awas nyesel,"['aplikasi', 'bodoh', 'bukannya', 'bikin', 'simpel', 'malah', 'bikin', 'kartu', 'lama', 'aktifnya', 'karna', 'harus', 'nunggu', 'kartu', 'debit', 'datang', 'ngirimnya', 'juga', 'gak', 'niat', 'gak', 'ada', 'resi', 'sama', 'lacak', 'pengiriman', 'yang', 'mau', 'daftar', 'lewat', 'ini', 'aplikasi', 'awas', 'nyesel']","['aplikasi', 'bodoh', 'bikin', 'simpel', 'bikin', 'kartu', 'aktifnya', 'karna', 'nunggu', 'kartu', 'debit', 'ngirimnya', 'gak', 'niat', 'gak', 'resi', 'lacak', 'pengiriman', 'daftar', 'aplikasi', 'awas', 'nyesel']","['aplikasi', 'bodoh', 'bikin', 'simpel', 'bikin', 'kartu', 'aktif', 'karna', 'nunggu', 'kartu', 'debit', 'ngirimnya', 'gak', 'niat', 'gak', 'resi', 'lacak', 'kirim', 'daftar', 'aplikasi', 'awas', 'nyesel']"
47,Aplikasi Mobile perbankan terbusuk yg pernah ada. Sulit banget login ketika di butuhkan. Selalu muncul pop up perangkat tidak mendukung. Padahal mobile banking bank lain aman saja.,negatif,-1,aplikasi mobile perbankan terbusuk yg pernah ada. sulit banget login ketika di butuhkan. selalu muncul pop up perangkat tidak mendukung. padahal mobile banking bank lain aman saja.,aplikasi mobile perbankan terbusuk yg pernah ada  sulit banget login ketika di butuhkan  selalu muncul pop up perangkat tidak mendukung  padahal mobile banking bank lain aman saja ,"['aplikasi', 'mobile', 'perbankan', 'terbusuk', 'yg', 'pernah', 'ada', 'sulit', 'banget', 'login', 'ketika', 'di', 'butuhkan', 'selalu', 'muncul', 'pop', 'up', 'perangkat', 'tidak', 'mendukung', 'padahal', 'mobile', 'banking', 'bank', 'lain', 'aman', 'saja']","['aplikasi', 'mobile', 'perbankan', 'terbusuk', 'yg', 'sulit', 'banget', 'login', 'butuhkan', 'muncul', 'pop', 'up', 'perangkat', 'mendukung', 'mobile', 'banking', 'bank', 'aman']","['aplikasi', 'mobile', 'perban', 'busuk', 'yg', 'sulit', 'banget', 'login', 'butuh', 'muncul', 'pop', 'up', 'perangkat', 'dukung', 'mobile', 'banking', 'bank', 'aman']"
48,Aman dan lancar,positif,1,aman dan lancar,aman dan lancar,"['aman', 'dan', 'lancar']","['aman', 'lancar']","['aman', 'lancar']"
49,Mantap,positif,1,mantap,mantap,['mantap'],['mantap'],['mantap']
50,Oke baik,positif,1,oke baik,oke baik,"['oke', 'baik']",['oke'],['oke']
51,Bagus,positif,1,bagus,bagus,['bagus'],['bagus'],['bagus']
52,Bagus,positif,1,bagus,bagus,['bagus'],['bagus'],['bagus']
53,CIMB niaga harus meningkatkan layanan cs 14041 nya. Proses menunggu di CS selalu lama sekali.. harus menghabiskan banyak pulsa hanya untuk proses perubahan data alamat. Dijanjikan akan di telpon kembali. Tapi tidak di telpon2. Kecewaa,negatif,-1,cimb niaga harus meningkatkan layanan cs 14041 nya. proses menunggu di cs selalu lama sekali.. harus menghabiskan banyak pulsa hanya untuk proses perubahan data alamat. dijanjikan akan di telpon kembali. tapi tidak di telpon2. kecewaa,cimb niaga harus meningkatkan layanan cs   nya  proses menunggu di cs selalu lama sekali  harus menghabiskan banyak pulsa hanya untuk proses perubahan data alamat  dijanjikan akan di telpon kembali  tapi tidak di telpon  kecewaa,"['cimb', 'niaga', 'harus', 'meningkatkan', 'layanan', 'cs', 'nya', 'proses', 'menunggu', 'di', 'cs', 'selalu', 'lama', 'sekali', 'harus', 'menghabiskan', 'banyak', 'pulsa', 'hanya', 'untuk', 'proses', 'perubahan', 'data', 'alamat', 'dijanjikan', 'akan', 'di', 'telpon', 'kembali', 'tapi', 'tidak', 'di', 'telpon', 'kecewaa']","['cimb', 'niaga', 'meningkatkan', 'layanan', 'cs', 'nya', 'proses', 'menunggu', 'cs', 'menghabiskan', 'pulsa', 'proses', 'perubahan', 'data', 'alamat', 'dijanjikan', 'telpon', 'telpon', 'kecewaa']","['cimb', 'niaga', 'tingkat', 'layan', 'cs', 'nya', 'proses', 'tunggu', 'cs', 'habis', 'pulsa', 'proses', 'ubah', 'data', 'alamat', 'janji', 'telpon', 'telpon', 'kecewaa']"
54,"Aplikasi cukup membantu, pembayaran wifi, listrik, tranfer beda bank atau sesama cimb",positif,1,"aplikasi cukup membantu, pembayaran wifi, listrik, tranfer beda bank atau sesama cimb",aplikasi cukup membantu  pembayaran wifi  listrik  tranfer beda bank atau sesama cimb,"['aplikasi', 'cukup', 'membantu', 'pembayaran', 'wifi', 'listrik', 'tranfer', 'beda', 'bank', 'atau', 'sesama', 'cimb']","['aplikasi', 'membantu', 'pembayaran', 'wifi', 'listrik', 'tranfer', 'beda', 'bank', 'cimb']","['aplikasi', 'bantu', 'bayar', 'wifi', 'listrik', 'tranfer', 'beda', 'bank', 'cimb']"
55,Mantap,positif,1,mantap,mantap,['mantap'],['mantap'],['mantap']
56,Lebih baik dari sblmnya...,positif,1,lebih baik dari sblmnya...,lebih baik dari sblmnya ,"['lebih', 'baik', 'dari', 'sblmnya']",['sblmnya'],['sblmnya']
57,"Ruat biasa, mudah bingit dan lancar jaya",positif,1,"ruat biasa, mudah bingit dan lancar jaya",ruat biasa  mudah bingit dan lancar jaya,"['ruat', 'biasa', 'mudah', 'bingit', 'dan', 'lancar', 'jaya']","['ruat', 'mudah', 'bingit', 'lancar', 'jaya']","['ruat', 'mudah', 'bingit', 'lancar', 'jaya']"
58,"Aplikasi yang jarang sekali update , terima kasih",positif,1,"aplikasi yang jarang sekali update , terima kasih",aplikasi yang jarang sekali update   terima kasih,"['aplikasi', 'yang', 'jarang', 'sekali', 'update', 'terima', 'kasih']","['aplikasi', 'jarang', 'update', 'terima', 'kasih']","['aplikasi', 'jarang', 'update', 'terima', 'kasih']"
59,bagus,positif,1,bagus,bagus,['bagus'],['bagus'],['bagus']
60,ga jelas sering force close eror mulu,negatif,-1,ga jelas sering force close eror mulu,ga jelas sering force close eror mulu,"['ga', 'jelas', 'sering', 'force', 'close', 'eror', 'mulu']","['ga', 'force', 'close', 'eror', 'mulu']","['ga', 'force', 'close', 'eror', 'mulu']"
61,Bagus sekali dan memudahkan,positif,1,bagus sekali dan memudahkan,bagus sekali dan memudahkan,"['bagus', 'sekali', 'dan', 'memudahkan']","['bagus', 'memudahkan']","['bagus', 'mudah']"
62,"Aplikasi nya error di android, padahal udah pake android terbaru, mau masuk apllikasi malah nge bug keluar sendiri. Perbaikin dong bug nya",negatif,-1,"aplikasi nya error di android, padahal udah pake android terbaru, mau masuk apllikasi malah nge bug keluar sendiri. perbaikin dong bug nya",aplikasi nya error di android  padahal udah pake android terbaru  mau masuk apllikasi malah nge bug keluar sendiri  perbaikin dong bug nya,"['aplikasi', 'nya', 'error', 'di', 'android', 'padahal', 'udah', 'pake', 'android', 'terbaru', 'mau', 'masuk', 'apllikasi', 'malah', 'nge', 'bug', 'keluar', 'sendiri', 'perbaikin', 'dong', 'bug', 'nya']","['aplikasi', 'nya', 'error', 'android', 'udah', 'pake', 'android', 'terbaru', 'masuk', 'apllikasi', 'nge', 'bug', 'perbaikin', 'bug', 'nya']","['aplikasi', 'nya', 'error', 'android', 'udah', 'pake', 'android', 'baru', 'masuk', 'apllikasi', 'nge', 'bug', 'perbaikin', 'bug', 'nya']"
63,Joss gandos,positif,1,joss gandos,joss gandos,"['joss', 'gandos']","['joss', 'gandos']","['joss', 'gandos']"
64,Sangat membantu sekali buat transaksi dimanapun kapanpun ok bangeeeeet ðŸ‘ðŸ‘ðŸ‘,positif,1,sangat membantu sekali buat transaksi dimanapun kapanpun ok bangeeeeet ðÿ‘ðÿ‘ðÿ‘,sangat membantu sekali buat transaksi dimanapun kapanpun ok bangeeeeet  ,"['sangat', 'membantu', 'sekali', 'buat', 'transaksi', 'dimanapun', 'kapanpun', 'ok', 'bangeeeeet']","['membantu', 'transaksi', 'dimanapun', 'ok', 'bangeeeeet']","['bantu', 'transaksi', 'mana', 'ok', 'bangeeeeet']"
65,Good,positif,1,good,good,['good'],['good'],['good']
66,Mau login aja di persulit ngetot Niat bikin apk ga tolol,negatif,-1,mau login aja di persulit ngetot niat bikin apk ga tolol,mau login aja di persulit ngetot niat bikin apk ga tolol,"['mau', 'login', 'aja', 'di', 'persulit', 'ngetot', 'niat', 'bikin', 'apk', 'ga', 'tolol']","['login', 'aja', 'persulit', 'ngetot', 'niat', 'bikin', 'apk', 'ga', 'tolol']","['login', 'aja', 'sulit', 'ngetot', 'niat', 'bikin', 'apk', 'ga', 'tolol']"
67,bagusss,positif,1,bagusss,bagusss,['bagusss'],['bagusss'],['bagusss']
