"Content","Sentiment","Label"
"Sangat membantu sekali buat transaksi dimanapun kapanpun ok bangeeeeet ðŸ‘ðŸ‘ðŸ‘","positif","1"
"Good","positif","1"
"Mau login aja di persulit ngetot Niat bikin apk ga tolol","negatif","-1"
"bagusss","positif","1"
"Selalu error, sangat tidak praktis dan sangat mengganggu transaksi saya. Tolong diperbaiki.","negatif","-1"
"Mantabbb","positif","1"
"Cepat dan mantap","positif","1"
"Nunggu pas code ampe memble","negatif","-1"
"Good job","positif","1"
"Mau masuk susah padahal id sudah bener","negatif","-1"
"Teruntuk app ini. Mohon maaaf ya mengapa begitu rumitnya,dan mengapa begitu banyak kendala yang saya temukan.saya make ini utk lebih mudah namun yg saya dpt sangatlah susah susah susah susah susah.","negatif","-1"
"MENU XTRA KASBON DI ATM CIMB NIAGA SUDAH TIDAK ADA LAGI ?","netral","0"
"Gogogo","positif","1"
"Gampang transaksi nya","positif","1"
"Mantap","positif","1"
"Bagus lengkap","positif","1"
"mantap","positif","1"
"Alhamdulillah duit sy balik lagi, seminggu lebih akhirnya kembali lagi,tolong di perbaiki supaya tidak merugikan pelanggan setia CIMB niaga, terimakasih","netral","0"
"Mudah dan biaya admin gratis..","positif","1"
"Terima kasih banyak Untuk kemudahannya","positif","1"
"Mantap","positif","1"
"mudah d gunakan","positif","1"
"Force close,, kirain dah update hilang force close nya","negatif","-1"
"Bagus.bntg 3 dulu klo + bgus tak ksh bntg 5 nanti","netral","0"
"Nice","positif","1"
"males mau bikin aja, dibikin susah nyari nama id nya..","negatif","-1"
"octo mobile,memberikan pelayanan yg sangat istimewa bagi konsumen,octo mobile mengutamakan kepuasan,keamanan","positif","1"
"Sukses untuk octo mobile by cimb niaga","positif","1"
"Akses cepat dan sangat senang bisa bertransaksi transfer biaya 0","positif","1"
"Setelah di update software nya, di xiaomi note 5 pro kok, bermasalah","netral","0"
"good","positif","1"
"Mantap Luar Biasa Transaksi mudah pake octo mobile","positif","1"
"Aplikasi bank paling ribet","negatif","-1"
"Kagak bisa banget di andelin lu ada acara rekening yang ada saldoan memuat mulu giliran saldo yang kosong normal"" kocak ni octomobile ada aja kendala nya kalo lagi di butuhin lama lama pindah gua keseringan gangguan mulu lu","negatif","-1"
"Lumayan, gak kalah sama mobile banking bank bumn","netral","0"
"Sangat tidak recomendasi, untuk pendaftaran nomer masih bisa menerima passcode, dan saat untuk log in sama sekali tidak dapat menerima passcode , dan setelah saya tanya keluhan kepada CS alasannya nomer terblokir wkwkwkwk Tanpa sebab dan alasan yg jelas bisa bisanya tiba"" terblokir.. Mobile banking harusnya mempermudah transaksi dll kalo octo mobile mempersulit semua tra nsaksi ,jangankan transaksi login saja tidak bisa.... Saya kasih bintang minus 10 ðŸ˜","negatif","-1"
"Keren","positif","1"
"Ok","netral","0"
"Pelayanan baik,semakin mudah pakai CIMB niaga,","positif","1"
"mudah simpel dan praktis","positif","1"
"Saya mau buka blokirn user id susah nya mintak ampun","negatif","-1"
"Mantap sekali","positif","1"
"Mudah dan cepat di gunakan di semua akses pembayaran ðŸ‘","positif","1"
"Ga jadi bintang 5,di update malah ga bisa di buka aplikasinya padahal udh terbaru trus,udh email ikutin petunjuk tetep aja ga bisa di buka aplikasinya, Slalu ada keterangan ""permintaan anda tidak dapat di proses""... Hp di root pun tidak masa ga bisa di buka....perbaiki lagi aplikasinya biar kaya smula....udah di email lagi dan balasanya suruh ganti/install di perangkat lain/device lain, sama disuruh pake Octo click ribetin aja","negatif","-1"
"error woy gagal code 14","negatif","-1"
"APK GAJELAS KODE OTP GA MASUK,APK ANJ MENDING PAKE DANA,GOPAY,OVO,DARIPADA APK INI NGIRIM KODENYA KEK MANUAL GA OTOMATIS DELAYNYA LAMA BGT JGN PERNAH DOWLOAND APLIKASI INI!!!!","negatif","-1"
"Lawak scam katanya kalau daftar lewat exis/XL dapat pulsa 30k tetapi udh lebih dari 9 hari pulsanya belum masuk ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚","negatif","-1"
"Nice APP ðŸ˜‡","positif","1"
"Mantap dan mudah..","positif","1"
"Bagus,, tapi jgn sering Upgrade dong","positif","1"
"Pembayaran Kartu Kredit CIMB NIAGA masih harus input No.CC Harusnya sdh ada record CC nya","netral","0"
"Transaksi pake octo mobile sangat mudah tanpa ribet, transfer gratis ke semua bank ðŸ‘","positif","1"
"Good","positif","1"
"Sangat membantu","positif","1"
"Safety first","positif","1"
"pulsanya gak masuk masuk udah 8 hari penipuan","negatif","-1"
"Sangat mudah digunakan","positif","1"
"Login sekarang susah, Gak kaya dulu, Sms otp ga muncul muncul pulsa ada padahal","negatif","-1"
"Mantap...proses cepat","positif","1"
"Praktis mantab","positif","1"
"Mudah dan cepat","positif","1"
"Terima Kasih","positif","1"
"adanya itikad tidak baik.. melakukan pemblokiran rekening secara sepihak oleh bank, hanya karena terlambat membayar cc. sudah pengaduan 14041 via email tapi tidak kunjung diselesaikan, ditelepon malah disuruh dilunasin semua.","negatif","-1"
"Top.. the best of mobile banking in Indonesia bestlah pokoknya","positif","1"
"Ditingkatkan lagi untuk fitur nya","positif","1"
"Aplikasi makin GK jelas...BKN mmpermudah...malah mempersulit!!!","negatif","-1"
"Saya suka karena ada pilihan Tabungan tidak ada biaya admin setiap bulannya","positif","1"
"Berfungsi dengan baik. Tingkatkan lagi koneksinya untuk gamenya keluar-keluar terus.","netral","0"
"Mantappp dan sukses selalu amanah dan bermanfaat selalu buat orang banyakðŸ¥°","positif","1"
"Mantap CIMB selalu di hati","positif","1"
"sekarang octo mobil cimb payah... td nya sisa saldo 50.000 aja masih bisa tranfers 30.000 sekarang mau tranfers aja sudah gk bisa payah... minimal sisa saldo 20.000.sekarang sudah gk bisa.","negatif","-1"
"Mau bikin rekening aja susah ditolak udah vc ditaiyain npwp orang gk punya .alasan data gk komplit mungkin karna pekerjaan cm irt yg pemasukan y gak seberapa","negatif","-1"
"Simple","positif","1"
"Ok, good","positif","1"
"Setiap hari pake octo selalu lancarrr poll, udah buka rekening lebih dari 1 dan overall oke untuk manage pengeluaran dll. Sangat baik","positif","1"
"Good bgtt","positif","1"
"Transfer byfast sangat membantu kami sebagai conter jasa transfer, karena cimb mengenakan biaya gratis, CIMB THE BEST","positif","1"
"Bank paling ngeselin gw buka ni apk di 2 hp (Oppo Reno 2z) dan (redmi 9a) kaga ada yang support, nyesel gw nabung di sini untung masih baru dan belum nyelam lebih jauh","negatif","-1"
"bermanfaat","netral","0"
"Mantabs sih.. Semoga aman","netral","0"
"Baik","netral","0"
"Aplikasi ga jelas mau login nunggu otp ga dapatÂ². Kocak sinyal g bagus gimana,, buat youtube,, download aja lancar,,","negatif","-1"
"Terima Kasih","positif","1"
"mantap...diberikan akses sangat mudah...terimakasih","positif","1"
"terus berinovasi untuk mempermudah layanan nya.. tampilan baru nya seru memudahkan dan menarik di lihat.. makin suka dengan aplikasi skrg","positif","1"
"payah mau login susah","positif","1"
"aplikasi makin ok trima kasih oktoðŸ™","positif","1"
"Belum bisan di gunakan Padah hp saya udah sesuai spesifikasi, tapi tidak bisa di gunakan di hp redmi note 9. Kecewa","negatif","-1"
"Simple dan fungsional","positif","1"
"Nice nice nice","positif","1"
"Aplikasi eror tolong donk perbaiki","negatif","-1"
"Bagus","positif","1"
"Lumayan membantu","positif","1"
"Nice","positif","1"
"Good","positif","1"
"Sangat bagus sangat membantu","positif","1"
"lebih mudah di gunakan di bamding pertama update","positif","1"
"Sangat baik","positif","1"
"Sangat membantu sekali...","positif","1"
"Top up dana bisa pending sampe 1 hari lebih.dan via chat tidak menyelesaikan masalah.makin males aja ini pake rekpon","negatif","-1"
"Aplikasi mudah di gunakan","positif","1"
"Tolong hapus data saya, karena setiap login di mintai code, sedangkan saya tidak di kirim code setiap mau login, jgn cuma manfaatin data orang yaðŸ™","negatif","-1"
"Semoga selalu gratis utk transfer ke semua bank dan tanpa biaya untuk top up gopay dan Shopee.","positif","1"
"Slalu keluar otomatis.. bikin keki.. ðŸ‘Ž","negatif","-1"
"Oke banget qris","positif","1"
"Bagus","positif","1"
"Mantappp","positif","1"
"Kenapa setiap buka octo mobile selalu gak bisa logh out trs kl tlp cs kita butuh waktu lama dan makan pulsa....tlg kl buat aplikasi itu yg bs d pakek trs jgn sering eror.... Tlg segera d benerin dan yg profesional kl krj supaya costumer gak lari k bank lain...makasih ( sampe skrg pyku gak bisa di buka )","negatif","-1"
"Mantap dan sangat membantu dalam bertransaksi","positif","1"
"Sistem buruk... Pelayanan lambat.. jauh buat berkembang dan bersaing dengan perbankan lainnya","negatif","-1"
"Sering nyangkut uang..gk ada penanganan","negatif","-1"
"Bank unik,dengan saldo yg sudah ditentukan dan tidak kena potongan admin memang benar, tapi saat terima bunga Setiap bulan,malah dipotong bunganya... kwkwkwkwk..aneh bunga dipotong,...wah wah...mantap banknya","netral","0"
"Susah login Masuk bentar log out sendiri","negatif","-1"
"Mantap","positif","1"
"Best","positif","1"
"jelek code pw lama","negatif","-1"
"Ribet","negatif","-1"
"sangat praktis sekali","positif","1"
"Rusak2 octo mobile ni pengisian saldo gopay uda mau 2hari dalam proses saya email malah jadi ribet harus nunggu 3 januari 2024 sakit sakit ini mah bukan mempermudah transaksi malah memperlambat transaksi","negatif","-1"
"sering terjadi BUG saat membuka","netral","0"
"Malah ngk Bisa TF lagi dari Aplikasinya Sinyal Bagus semua 4g malah, setiap akhir bulan pasti eror nih aplikasi","negatif","-1"
"Mantap","positif","1"
"Satu kata buat cs nya begoooo benar ditanya berbelit terus ga paham ttg banknya sendiri","negatif","-1"
"mau login aj susah, payahðŸ‘Ž","negatif","-1"
"Transaksi sering gagal tapi saldo tetap terpotong, respon penanganan sangat lambat dan aplikasi juga sering mengalami error. Sangat merugikan pengguna, saya menyesal memakai octo mobile, saldo saya sering hilang karna gagal transaksi namun pihak cimb niaga sangat sangat lamban sekali dalam menangani masalah ini seakan-akan transaksi gagal merupakan kesalahan pengguna, alias aplikasi bapuk!","negatif","-1"
"Kenapa gbs login. Kode pascode nya berulang kali ga terkirim2 SMS nya...","negatif","-1"
"Sangat membantu nasabah.","positif","1"
"Aplikasi berat,sering error ,sudah berapa kali top up pulsa hp dan pulsa listrik gagal tapi saldo terpotong,dan kalo pengaduan harus nunggu 1 minggu","negatif","-1"
"Kecewa banget sama octo di keluarin terus sama taik ini ... Disuruh masukin no kartu 4digit lagi alah nyesal pke rek ini ... Enakan octo dulu","negatif","-1"
"Aplikasi muter","netral","0"
"Smoga jaya terus...","positif","1"
"Cepat fsn amsn","positif","1"
"Tf dari octo ke rek utama.. Saldo kepotong tp tf gak masuk... Kacauuuuuuuuu.,.","negatif","-1"
"Si tukang gabut bikin Aplikasi PerbankanðŸ¤£ Daftar sulit, Login gabisa","negatif","-1"
"goooddddddddd niceeeeee","positif","1"
"parah, transaksi dari octo pay ke tabungan gagal 199.800,terus saldo ilang gitu aja gabalik lagi ke octo pay, udah hubungin via gmail, ig lama banget dari pagi jam 07:00 sampe sekarng 21:00 belum ada kabar lagi, kecewa banget sama pelayanan cimb","negatif","-1"
"aplikasi maling uang orang sering sekali eror saldo kepotong uang tidak keluar semoga orang"" cimb masuk neraka amminnn ya allah...","negatif","-1"
"Jangan sering pembaharuan dong. Kalau tdk diperbaharui, tdk bisa dibuka. Memangnya tdk makan data?","netral","0"
"Tinggal pencet aja","netral","0"
"Ribet sumpah. Mau login ae kudu berbelit-belit. Udah masukin users id, trs katanya mau disend password, eh tapi gak muncul"". Ke atmnya buat ambil duit juga gak bisa dicairin, padahal saldo masih 70.000, mau diambil 50.000 gak bisa hadehhhhh","negatif","-1"
"dulu login sekali, bisa lgs transaksi. Trus logout. Skr, ga begitu. Kenapa ya? 1 transaksi butuh 2x login.","netral","0"
"*Edit: Alhamdulillah bug fix, jadi nyaman pakeknya. Mintol bug-nya force close di HP Android Xiaomi Redmi Note 11 Pro 5G. Gimana? responnya kok belum keluar. Kapan update bug force close, pas masuk home page udah force close aja. Coba instal ulang tetep,","netral","0"
"Mantap","positif","1"
"App apa ini. Saat urgent mau di gunakan ga bisa. Sedikit sedikit akun terblokir","negatif","-1"
"Tidak bisa tarik tunai tanpa kartu,lucu tidak pernah ada perbaikan dari dulu","negatif","-1"
"Cukup membantu dan bunga rendah","positif","1"
"Tidak ada aplikasi pihak ke 3 tetap saja tidak bisa di buka...JD g tahu permasalahanya","negatif","-1"
"Oke","netral","0"
"Alhamdulillah sangat membantu sekali.. terimakasih banyak cimb niaga","positif","1"
"Istimewa, easy to use","positif","1"
"Tks.","positif","1"
"Oke banget..Octo Mobile semakin jaya","positif","1"
"Mantulll","positif","1"
"praktis & efisien ... lanjutkan, Tks","positif","1"
"Untuk transfer Shopeepay blm bisa yaa","negatif","-1"
"dsruh perusahaan ganti CIMB Krn Bru kerjasama untuk sistem penggajian , download apk nya pas masuk malah Ket nya perangkat anda belum dapat digunakan untuk mengakses Octo , hp saya opo a31 ram 4/128 keknya gak jadul2 amat , hadeeh jadi lebih sulit klo gapake mbanking ðŸ¤¦","negatif","-1"
"Enak aja pas ada saldonya","netral","0"
"ðŸ˜Ž","positif","1"
""" Permintaan anda tidak dapat diproses "" Mohon maaf, saat ini perangkat anda belum dapat digunakan untuk mengakses octo mobile. Info lebih lanjut: 14041 Apaan tuh gak bisa digunainðŸ—¿","negatif","-1"
"Mohon maaf kalau ada kendala mahal","negatif","-1"
"Dengan okto mobile kita jadi lebih aman bertransaksi, lebih memudahkan nasabah Suskes terus cimb niaga","positif","1"
"Selesai login langsung forceclose mulu, jadi blm nikmatin fitur2nya.. Saya ubah pas masalah ini terselesaikan.","negatif","-1"
"Mudah","positif","1"
"Aplikasinya tolong diperbaiki, terlalu berat, selalu keluar sendiri, masa cuman aplikasi m-banking musti pake spek hape dewa., aplikasi mobile banking yg lain padahal aman aja.","negatif","-1"
"kocak","negatif","-1"
"Cepat,mudah lancar","positif","1"
"Aplikasi lengkap tanpa ribet","positif","1"
"Penipu, kirain dapet pulsa beneran, udah daftar pula belum kunjung di kirim pulsa nya, dan sering eror aplikasi nya ga enak buat dipake, lebih bagusan aplikasi sebelahðŸ‘Ž","negatif","-1"
"Yg pake aplikasi ini fiks ras Babi","negatif","-1"
"Baik dan mudah","positif","1"
"Bangke, gada kode otp pas login. Giliran coba buat registrasi akun baru ada kode otp. Mau ngehubungi service center harus pake pulsa, fucek lah ini gimana mau ada yg pake apk ini klo gk bisa login. Woi dev klo masalah ini dah kelar, kasih pemberitahuan lewat email. Awas klo taun depan masih blm bisa login. Gw spam bintang 1 pake akun bot","negatif","-1"
"sejauh ini sudah bagus. hanya saja yg tadinya bisa tarik 50k dengan notifikasi aplikasi sekarang hanya bisa dengan sms untuk passcode-nya","netral","0"
"Tolong dong..aplikasi nya di perbaiki, sering keluar sendiri setiap mau di pake,lemot lgi sama kaya ATM nya, nyesel pake bank ini,","negatif","-1"
"Membantu sy untuk bayar tagihan niaga credits card free cash caranya pun mudah, & masih banyak fitur lainnya","positif","1"
"Sangat puas dan mantap tf gratis tanpa admin","positif","1"
"Transfer cepat","positif","1"
"Sangat memuaskan dgn layanan Cimb niaga syariah ðŸ™ dibantu dgn adanya octo mobile","positif","1"
"Untuk membuat rekening baru kode verifikasi bisa masuk, tapi untuk log in kode verifikasi tidak bisa masuk","negatif","-1"
"Mempermudah bertransaksi dimana aja dan kapan saja","positif","1"
"CIMB MANTAP Aplikasi makin nyaman di pakai, dan ini CIMB fiturnya juga lengkap banget","positif","1"
"Cukup baik, tidak ada kendala jaringan..","positif","1"
"mudah, detail","positif","1"
"Mudah, aman, sederhana","positif","1"
"Aplikasi sering force close mulu, pas mau daftar rekening","negatif","-1"
"Mantap, senang bisa punya octomobile, semua jadi simple","positif","1"
"Bagus jangan sering lemot","positif","1"
"Buat saya aplikasi ini sangat bagus, dan sangat bermanfaat.","positif","1"
"akwwsnya cpt","positif","1"
"buruk","negatif","-1"
"Sangat puas dan gampang tuk transaksi","positif","1"
"mantul","positif","1"
"Ok","positif","1"
"Makin lelet semakin update.. Kek macam Mobil banking abalÂ² bisa pulak setelah update semakin ga mudah & ga lancar di pakai nya.. LOL","negatif","-1"
"Mantap ..... sangat memuaskan sejauh ini","positif","1"
"Goooddd","positif","1"
"Ok","netral","0"
"Transaksi tanpa kartu cuma bisa kelipatan 100k","negatif","-1"
"Bagus banget","positif","1"
"Makasih cimb","positif","1"
"Mantabs...","positif","1"
"Kalo bisa kasi nilai minus ya saya kasi minus karna aplikasi bukannya mempermudah malah sering error, masak sekelas bank gak bisa bayar orang2 ahli untuk benerin aplikasi ini, kecewa berat deh pokoknya jadi pengen gak pake cimb niaga lagi","negatif","-1"
"Oke Bgt","positif","1"
"Maaf knp Aplikasinya error terus ya? Mau daftar kode OTP ngak terkirim2 via SMS... Mau daftar apload foto susah,Udah selesai sampai akhir Akhir ehh... User ID nya salah... Udah tlpn CS tanya proses dftar dah selesai tp data pendaftarannya yg td dah selesai ternyata tidak ada,trus sisuruh coba restar ulang hpnya tetep aja error Udah dihapus intasl bolak balik masih aja kayak gitu terus aplikasinya error Gimana ini Tolong team IT nya Aplikasinya diperbaiki....","negatif","-1"
"Kenapa sangat susah loginnnn","negatif","-1"
"Mantap","positif","1"
"gaje..udah buat akun id pas login ttp g ada kodeny","negatif","-1"
"Sangat baik","positif","1"
"Mantap","positif","1"
"Penggunaan aplikasi yang mudah. Akses ke segala e-money mudah. Melakaku banyak transaksi melalu octo mobile dapat keuntungan lebih. Pertahankan yaa ðŸ˜—","positif","1"
"Fiturnya sangat lengkap","positif","1"
"Baik","positif","1"
"force closed mulu ketika sudah berhasil login","negatif","-1"
"Terima kasih cimb niaga","positif","1"
"senang,mudah","positif","1"
"Selalu gagal login padahal di sms keterangannya udah login, bikin rugi pulsa","negatif","-1"
"Bagus untuk saving","positif","1"
"Mantap mg banyak promo","positif","1"
"Mantap canggih","positif","1"
"Penilaian saya edit, mantap octo mobile by cimb Niaga. keren bgt sekarang ga kaya dulu, jauh jauh..jauh..lebih sempurna, semua feature bisa digunakan ga kaya dulu..trimakasih saya terbantu sekali dgn octo mobile yg sekarang. sudah mantap ini..","positif","1"
"Bagus lancar jaya","positif","1"
"Memudahkan dalam bertransaksi","positif","1"
"Kenapa saya tidak bisa masuk ke mobile octo","negatif","-1"
"Mantab","positif","1"
"Bagus mempermudah","positif","1"
"Setelah update tidak bisa dibuka lagi, pesan error perangkat telah di root, padahal tidak pernah di root, menghubungi call center disuruh ganti device lain. Solusi yg tidak jelas. Harusnya tim IT nya cek dulu. Kejadian yg sama dengan aplikasi bni mobile, tapi setelah update berikutnya bisa digunakan kembali.","negatif","-1"
"Simple","positif","1"
"Saya mau tf tapi nggak bisa login","negatif","-1"
"Transaksi Lebih Mudah Cepat dan Jarang sekali atau hampir ga pernah eror","positif","1"
"ok","netral","0"
"Susah bgt ngirim passcode ny parah","negatif","-1"
"Tolol nya minta ampun, klo login ke aplikasi pake id masuk nya kemana, cari kemana2 ga masuk, coba pake lupa user id malah bener id nya, gak jelas bank tolol","negatif","-1"
"Yg merasa aplikasi OCTO Mobile eror silahkan download di app gallery dulu yg dari play store bermasalah","netral","0"
"minimal saldo ngendap nya 50ribu mahal banget untuk pengguna octo savers ga kaya bank lain, jadi males pake ini mending pindah BCA aja, atau tolong kurangi untuk minimal saldo ngendap nya jangan 50ribu terlalu mahal","negatif","-1"
"Mantap","positif","1"
"Puas pake octo mobile","positif","1"
"Topppppp","positif","1"
"Bagus dan sangat membantu","positif","1"
"Mohon solusi nya saya tidak dapat bertransaksi...aplikasi selalu gagal","negatif","-1"
"Ok","netral","0"
"Transfer kemana saja gratis pakai bi fast ðŸ‘ðŸ‘","positif","1"
"Easy","positif","1"
"kenapa sekarang susah buat masukya ya login aja susah","negatif","-1"
"Mantap","positif","1"
"Buat login aja susah, keterangan aplikasi tidak dapat di gunakan diperangkat ini. Padahal di hp ini banyak aplikasi banking. Bukan cuma octomobile doang","negatif","-1"
"Mohon diperbaiki bug aplikasi octo mobile yang tidak menanggapi padahal device mendukung dan jaringan koneksi yang stabil tetap selalu seperti itu.","negatif","-1"
"Mantap","positif","1"
"Best App","positif","1"
"Semoga cimb semakin bagus program2nya","positif","1"
"Mantap","positif","1"
"Aplikasi ngga guna!!!malah bikin mumet,mau log in dipersulit,nunggu kode otp ditunggu ngga masuk2,sekalinya masuk,no telpon anda sudah terdaftar,ngg jelas!!!","negatif","-1"
"Ribet, akun rawan terblokir, telp 14041 juga mahal, minta solusi malah disuruh bayar","negatif","-1"
"Bagus dan pertahankan","positif","1"
"Call center sangat tdk membantu","negatif","-1"
"Transaksi sangat mudah","positif","1"
"Perlu di tingkatkan lagi kalo bisa menu nya lengkapnseperti livin","netral","0"
"goodsimpel","negatif","-1"
"Ini kok DAFTAR FAVORIT NYA KOK HILANG padahal mau transfer.. Aduh...","negatif","-1"
"Kenapa nomor saya di blokir? Tolong buka blokirannya saya bahkan belum aktivasi rekeningnya","negatif","-1"
"Semakin baik","positif","1"
"Payah banyak penurunan kualitas Transfer dari subuh sampai sore belum masukÂ² juga Kirim uang jadi balik lagi kaya jaman batu Buat laporan dari Buka Bank sampai Tutup Bank masih belum selesai juga Ngerjainnya pada Bercyanda sih engga serius","negatif","-1"
"Oc mantap","positif","1"
"Ok mantap","positif","1"
"Bagus banget","positif","1"
"Ok","netral","0"
"Transaksi cepat","positif","1"
"Aplikasi sering eror lemot, pas perlu dipakai malah tidak bisa seperti lagi pembaharuan, lama lagi, kurang bisa diandalkan menabung d aplikasi ini. Banyak eror nya cemen","negatif","-1"
"Bagaimana ini saya mau daftar tapi nomor telepon saya malah terblokir padahal saya blom ngapa ngapain?","negatif","-1"
"Tiba tiba tidak bisa login padahal user id sudah benar.sangat disayangkan padahal tadinya tidak ada kendala sama sekali.mohon diperbaiki lagi","negatif","-1"
"Tampilan Ciamik","positif","1"
"Apk semakin diperbarui semakin cakepp. Pembayaran apapun efektif efisien. Thx yaaa OCTO","positif","1"
"Mantap","positif","1"
"Aplikasi kagak jelas udh di donlod kagk bisa daftar heee payah.... Jelek apk ini","negatif","-1"
"Ok","netral","0"
"Aplikasi tidak bisa digunakan... GANTI PENGEMBANG","negatif","-1"
"Eazy to use","positif","1"
"Lancar tanpa gangguan","positif","1"
"CIMB niaga rekpon memang layanan transaksi yg sangat memuaskan tanpa potongan setiap bulan nya...sukses terus CIMB niaga rekpon","positif","1"
"buka aplikasi malah tidak ada jaringan padahal kecepetan internet 10mb/s ga jelas sumpah aplikasi malah nyalahin jaringan ...","negatif","-1"
"Bagus dan menarik","positif","1"
"Semua transaksi yg saya lakukan menjadi cepat dan aktivitas saya berjalan lancar (terutama topup saldo shopeePay atau OVO","positif","1"
"Muantapppoooooll","positif","1"
"mulus","positif","1"
"Di tingkatkan kualitas internetnya biar nga lemot dan pelayananya","positif","1"
"Susah masuk, ga ada otp","negatif","-1"
"Aplikasi bagus, mudah di gunakanðŸ‘","positif","1"
"aplikasi bobrok login dipersusah","negatif","-1"
"Tolong bahasa yg dipakai d aplikasi bahasa indonesia semua ..terima kasih","positif","1"
